lan_code,sentence
rus,Этот закон не применяется в Японии.
rus,У некоторых людей врождённая щедрость.
rus,"Это неприлично смеяться над кем-то, когда он совершает ошибку."
rus,"На этот раз Боб, вероятно, победит."
rus,Я просто не могу решиться.
rus,Ребёнку нужна мать.
rus,Вчера все надо мной смеялись.
rus,Она не сможет без своего автомобиля.
rus,Он рассказал мне о происшествии.
rus,Включи радио.
rus,Ай сложно подружиться с Кэном.
rus,Подними руку в приветствии.
rus,"Когда ты на солнце, укрывай чем-нибудь голову."
rus,В своём сочинении он сделал много грамматических ошибок.
rus,Вот что стало причиной его неудачи.
rus,Ни с того ни с сего моя мать запела.
rus,"Я собирался выйти, когда он позвал меня."
rus,Дверь оставалась закрытой весь день.
rus,Я не люблю брать на себя тяжёлые обязательства.
rus,Мы увидели вдали замок.
rus,Двухфокусные линзы также называются бифокальными.
rus,С нашей точки зрения его предложение вполне разумно.
rus,Откройте капот.
rus,Его ироничные замечания направлены не на тебя.
rus,Тебе не стоит завтракать каждый день.
rus,Я редко слышал о ней.
rus,Во время учёбы в колледже он жил в Киото.
rus,"Я знаю мужчину, который сидит вон там."
rus,Она уже здесь?
rus,Что-то не так с моей электронной почтой.
rus,Они снабжали жертв войны едой.
rus,Последние два месяца я был занят как пчела.
rus,"Помой посуду, Бен."
rus,В Японии производится много хороших фотоаппаратов.
rus,Я пошёл в лес один.
rus,Следующий поезд «Синкансэн» отходит ровно в девять часов.
rus,"Он — тот самый человек, которого я ищу."
rus,Я скован недостатком времени.
rus,В коробке есть что-нибудь?
rus,Не всякое знание полезно.
rus,Я забыл выключить газ!
rus,Они потешались над ним.
rus,"У неё рыжеватые волосы, поэтому её и прозвали «Морковкой»."
rus,Учитель он так себе.
rus,Общественное мнение поворачивается против половой дискриминации.
rus,Фред всегда говорит неправду.
rus,"Она всё время жалуется то об одном, то о другом."
rus,Почему бы в эти выходные нам не отправиться в горы?
rus,Они играют в восемь часов.
rus,Ты не поможешь мне нести этот чемодан?
rus,Из-за навалившихся дел я не могу с тобой увидеться.
rus,Мы едим суп ложками.
rus,Я сломал ногу в автоаварии.
rus,Я сломал ногу в ДТП.
rus,Ты должен отличать действительность от вымысла.
rus,Я немного играю на пианино.
rus,Они все пошли в ресторан.
rus,Поверхность луны неровная.
rus,"Твоя история не согласуется с тем, что я слышал раньше."
rus,Он не был подходящим человеком для этой задачи.
rus,Выглядит как яблоко.
rus,"В Киото есть много мест, которые можно посетить."
rus,"Я удивлён, что ты мог не знать об их браке."
rus,"Это крупное войсковое соединение, состоящее из пяти тысяч солдат."
rus,"Ты можешь оставить место, когда захочешь."
rus,Как ты мог сделать такую ошибку?
rus,Следуй неизбежному.
rus,Вот так дело!
rus,Какая красивая радуга!
rus,"В целом можно сказать, что он бы музыкальным гением."
rus,"Она, должно быть, очень усердно училась."
rus,"Когда я добрался до аэропорта, самолёт уже улетел."
rus,Известие некоторое время было умалчивали.
rus,Я хочу за раз купить кухонную утварь.
rus,Лучше начни как можно скорее.
rus,Она отправилась на пикник в воодушевлении.
rus,"Мачта сломалась, и наше судно легло в дрейф."
rus,Твои знания удивляют меня.
rus,Наш новый учитель английского только что окончил колледж.
rus,У нас сейчас кончились запасы.
rus,Он работает в отделе планирования.
rus,Успех был лишь частичным.
rus,"Пожалуйста, заполните форму заявления и вышлите её до второго ноября."
rus,Есть ножом некультурно.
rus,Моя камера водонепроницаемая.
rus,"Доска достаточно прочная, чтобы выдержать вес."
rus,"Пожалуйста, продлите эту визу."
rus,Япония бедна естественными ресурсами.
rus,Возбуждение достигло своего пика.
rus,В этом мире живёшь только раз.
rus,"Они расстались, чтобы никогда не видеться вновь."
rus,"Это платье мне нравится больше, чем то."
rus,"Мистер Джонсон не учёный, а поэт."
rus,Как толковать эти строки стихотворения?
rus,Растения являются специфическими для данного района.
rus,Чей это учебник?
rus,Городские огни мы могли видеть издали.
rus,Он оказывал ей знаки внимания.
rus,Он часто запирается в рабочем кабинете и пишет подобные вещи.
rus,В этом месте был вечный сумрак.
rus,Нептун — восьмая планета Солнечной системы.
rus,У чашки отбита ручка.
rus,Они устроили фейерверк.
rus,В американской литературе он чувствует себя как дома.
rus,Мой отец проспал весь фильм.
rus,Я работал с шести утра.
rus,"Мой брат купил подержанный автомобиль, так что было не очень дорого."
rus,"Из-за проблемы загрязнения воздуха, велосипеды, возможно, однажды заменят автомобили."
rus,"Он учится, чтобы стать священником."
rus,"Будьте добры представить себя председателю, а не другим участникам совещания."
rus,Из-за скандала его клиника лишилась многих пациентов.
rus,"Было много доводов и за, и против законопроекта."
rus,Джек держит под мышкой кота.
rus,С чего тебе так грустить?
rus,Она больше никогда не пойдёт по Лайм-стрит.
rus,При всей своей гениальности он остаётся столь же непонятным.
rus,"Когда мой старик в прошлом месяце сыграл в ящик, он оставил мне деньги, которых хватило только на то, чтобы отдать мои долги."
rus,"Это здание выглядит большим спереди, но не со стороны."
rus,Отец хочет сделать меня врачом.
rus,Напрячь оборону! Они идут!
rus,"Он сказал, казалось, сбитый с толку: «Я ничего не слышал, так что ничего не могу сказать»."
rus,У него была привычка вставать рано.
rus,Я промок до нитки.
rus,Я промок насквозь.
rus,Откуда вы?
rus,Тебе следует поддерживать хорошие отношения с соседями.
rus,Я уже давно её знаю.
rus,"Он спросил полицейского, сколько людей погибло в ДТП в предыдущий день."
rus,Нельзя оставлять дверь открытой.
rus,"Можешь представить, как я счастлив?"
rus,Могу я поговорить с тобой об этом деле наедине?
rus,"Примерно на пятый год я решил, что стрижка травы — это не то, чем я хочу заниматься дальше."
rus,Я писал письма всё утро.
rus,"Не оставалось ничего, кроме как подчиниться приказу."
rus,Он придумал ложный слух.
rus,Как часто вы ездите за границу?
rus,"Боюсь, я не могу вам помочь."
rus,Преступник умолял его передумать.
rus,"Да, молоко очень хорошее."
rus,"Эта книга даже ещё интереснее, чем та."
rus,Физическое воспитание является обязательным предметом?
rus,"Он — последний человек, который годится для такой работы."
rus,Он сделал для своего сына модель самолёта.
rus,"Ты не помнишь, а я никогда не забуду."
rus,Она работает очень усердно.
rus,Члены клуба собрались в конференц-зале.
rus,Мы провели тихий день за городом.
rus,Его речь выдалась жутко скучной.
rus,"Почти невозможно поверить, что все эти прекрасные вещи были созданы человеческими руками так давно."
rus,Завтра он отправится в Китай.
rus,"Я почти забыл, что это был его день рождения."
rus,У него плохой почерк.
rus,Тебе было бы разумно сделать небольшой наклон в сторону преобладающих ветров.
rus,Твоя история очень странная.
rus,"Эта коробка слишком тяжёлая, чтобы я поднял её один."
rus,Она постоянно путает соль и сахар.
rus,Мой брат был отрадой для глаз моего отца.
rus,Такие вещи сложно достать.
rus,Холера не распространена в Японии.
rus,Вы оба сегодня произвели большое впечатление. Я горжусь вами.
rus,"Я представить себе не могу, как они могут взять вещь на хранение, а потом отправить тебе служащего, имеющего наглость заявить «Извините, мы это потеряли», и думать, что на этом дело закончено."
rus,Он — эксперт в области городского планирования.
rus,Он оставил своему сыну состояние.
rus,Я дома.
rus,Его мать присматривает за ним.
rus,Он посмотрел на часы.
rus,Они оба мои коллеги.
rus,Это бабочка или мотылёк?
rus,"У отца было плохое настроение, потому что из-за плохой погоды он не мог играть в гольф."
rus,Это не Центральная школа вождения?
rus,От долгих дождей мне становится тошно.
rus,Он на минуту опоздал на поезд.
rus,Река течёт между двумя странами.
rus,Отчаянные люди часто идут на отчаянные поступки.
rus,Он погиб смертью солдата в битве во имя демократии.
rus,Он всего лишь ребёнок.
rus,Ты закончил это?
rus,Ты раздашь бумаги?
rus,Это тоже не апельсин.
rus,"Было воскресенье, и я не стал вставать рано."
rus,От плохого семени будет плохое зерно.
rus,"Он обещал мне, что придёт в четыре."
rus,Он спросил дорогу у полицейского.
rus,Они живут очень даже неплохо.
rus,"Я не понимаю, что означает этот знак."
rus,"Три года он ходил в старшую школу, не пропустив ни дня и ни разу не опоздав."
rus,Сравните свои ответы с ответами учителя.
rus,Он сидел там и курил трубку.
rus,Обрушившаяся скала отрезала любой доступ к посёлку.
rus,"И я знаю, что вы это сделали не просто для того, чтобы выиграть выборы. И я знаю, что вы сделали это не для меня. Вы сделали это, потому что понимаете масштабы предстоящей работы. И хотя этим вечером мы празднуем, мы знаем, что завтрашний день принесёт нам величайшие вызовы в нашей жизни: две войны, угрозу планете и худший финансовый кризис столетия."
rus,Старик преградил ей дорогу.
rus,Я с ним в хороших отношениях.
rus,Я стараюсь не думать об этом.
rus,"Как бы я ни старался, я не мог решить задачу."
rus,На рубеже веков дети всё ещё продолжали работать на фабриках.
rus,"Если сейчас ты сделаешь всё, на что способен, в твоей жизни наступит счастье."
rus,Вчера я не играл в теннис.
rus,Птица штата Миннесоты — комар.
rus,"Если пройдёт хорошо, я выдвину тебя на драматический сериал."
rus,Из-за происшествия нас задержали на два часа.
rus,Я советую тебе хорошенько проверить своего мужа.
rus,Начинает остывать.
rus,Её песня хорошо известна молодёжи.
rus,"Я люблю тебя сильнее, чем могу сказать словами."
rus,"Когда мать на тебя сердится, ты не должен отвечать ей тем же."
rus,"Нет ничего лучше, чем в хороший день пройтись вдоль берега."
rus,"Рик и Кэрол расстались два месяца назад, но он всё ещё в неё влюблён."
rus,"Я разрешил ему делать то, что он захочет."
rus,Бетховен был великим композитором.
rus,Литва входит в Европейский союз.
rus,Не перенапрягайся на работе!
rus,"У меня есть брат и сестра; он живёт в Токио, а она в Нагано."
rus,"Насколько я знаю, этот лучший."
rus,Мне остаётся только ждать здесь.
rus,Мы иногда видимся в супермаркете.
rus,У него было два или три довольно компетентных помощника.
rus,Новая демографическая политика нацелена на достижение нулевого роста населения.
rus,У него дурное на уме.
rus,Хотел бы я купить мотоцикл.
rus,Он продвигался по карьерной лестнице.
rus,Прошлой ночью у меня был ужасный сон.
rus,Отец решил бросить курить.
rus,Я нахожу её очаровательной и привлекательной.
rus,"Пожалуйста, разуйтесь перед тем, как войти в дом."
rus,Старое доброе время прошло и никогда не вернётся.
rus,Родители любят своих детей.
rus,Я дал три карандаша каждому из них.
rus,Я легкомысленно оставил дверь открытой.
rus,"Прямо говорить, что думаешь — не грех."
rus,Мы отлично ладим.
rus,"Пожалуйста, принесите мне какие-нибудь очки."
rus,Мне полагаются какие-нибудь купоны на скидку?
rus,"Эти часы лучше, чем те."
rus,У меня с собой не больше ста иен.
rus,Я бы на вашем месте купил вот тот.
rus,"Пожалуйста, передайте привет вашей жене."
rus,Он только что прибыл сюда.
rus,Почему ты не пришёл?
rus,Они назначили его председателем.
rus,«Паффи АмиЮми» — японская рок-группа.
rus,Этот скандал нанёс большой урон имиджу компании.
rus,Мой менструальный цикл составляет около четырёх недель.
rus,Ему починили часы.
rus,Юми не будет играть в теннис.
rus,Американцы избрали мистера Клинтона президентом.
rus,Это крайне полезно.
rus,Ему не терпелось приняться за новую работу.
rus,Чудовище лежало на скале у вершины горы.
rus,Он подал заявку на вступление в клуб.
rus,"Уровень безопасности, заданный Министерством национальной безопасности, — оранжевый."
rus,"Нам едва хватает времени, чтобы съесть завтрак."
rus,Американский народ избрал господина Клинтона президентом.
rus,Я люблю есть горячий суп.
rus,Завтра День матери.
rus,Какая большая тыква!
rus,Я люблю есть арбуз.
rus,Вы не будете добры открыть мне дверь?
rus,Вы должны будете начать между шестью и семью.
rus,Над девочкой смеялись все её одноклассники.
rus,Птички радостно поют на деревьях.
rus,"Она ушибла ногу, упав со своего велосипеда."
rus,Он опоздал на поезд на одну минуту.
rus,"Если бы мне нужно было определить жизнь в одном слове, это было бы: жизнь — творение."
rus,Господин Судзуки преподаёт нам английский.
rus,Вы позволите мне попробовать ещё раз?
rus,В большинстве случаев модернизация воспринимается как вестернизация.
rus,Мотоцикл врезался в телефонный столб.
rus,"Думаю, если ты мне подсобишь, я смогу дотянуться до ветки."
rus,Он всем нравится.
rus,"Удивительно, что мы встретились там вновь."
rus,"То, что я не знаю её имя — это факт."
rus,"Мы надеемся, что тебе всё удастся."
rus,У тебя сильная воля.
rus,"Насколько я знаю, он невиновен."
rus,В следующих нескольких программах будет много таких сцен.
rus,Они встали на защиту прав своего народа.
rus,"Нет вестей — добрые вести. Если ты ничего не слышал о своём сыне, значит, с ним всё в порядке."
rus,Пожарные автомобили имеют приоритет перед любым другим транспортом.
rus,К «А» есть доступ от «Б».
rus,"Пожалуйста, сообщите мне, когда начинать."
rus,"Что бы вы ни говорили, а я всё равно верю в истинность этой теории."
rus,Ему оставалось проделать большую работу.
rus,Она задала несколько вопросов о нас.
rus,"Поскольку ни у одного из нас не было денег пригласить другого в кино, каждый платил за себя."
rus,Она вежливо мне поклонилась.
rus,"Мистер Браун не настолько стар, насколько он выглядит."
rus,Урожай в прошлом году не удался.
rus,Мне удалось найти место для парковки прямо напротив здания.
rus,"Он ведёт себя тихо, чтобы не побеспокоить отца."
rus,Я научился заниматься и играть как мои японские друзья.
rus,Я возьму отпечаток ваших зубов.
rus,У меня небольшая простуда.
rus,В прошлом месяце было совещание.
rus,Она хотела бы родиться двадцатью годами ранее.
rus,Печальная серия поражений лишила нас силы духа.
rus,Мой брат иногда помогает мне с домашней работой.
rus,Мой дядя много лет жил за границей.
rus,И это действительно повлияет на их отношения?
rus,Я никогда не забуду нашу встречу.
rus,Она для него всё.
rus,"Мне нечего предложить, кроме крови, мозолей, слёз и пота."
rus,"Она жалуется на головные боли, причём очень часто."
rus,"Идите прямо, и вы найдёте станцию."
rus,Старый замок находится в плачевном состоянии.
rus,Пора предаться воспоминаниям.
rus,"Ты можешь пригласить, кого захочешь."
rus,В моей комнате страшный беспорядок. Мне нужно прибраться в ней.
rus,Вам следует сейчас же вызвать полицию.
rus,"Её роста не хватало, чтобы посмотреть через забор."
rus,"Художник, картины которого тебе понравились, — мой друг."
rus,В последнее время я совершенно не видел господина Кимуру.
rus,Ты должен пересмотреть эту программу.
rus,Я ещё не окончил читать книгу.
rus,"Я тихонько закрыл дверь, чтобы не потревожить малыша."
rus,Она спасла малыша ценой собственной жизни.
rus,Он будет здесь через полчаса.
rus,Этой осенью я еду в Париж.
rus,Давай споём вместе песню.
rus,"Для того, чтобы возвести памятник покойному, был организован фонд."
rus,Как долго вы намереваетесь здесь оставаться?
rus,На нём не было шляпы.
rus,Репортер засыпал политика вопросами.
rus,Мой отец сегодня не едет в Токио.
rus,"Ничто так не расслабляет, как горячая ванна."
rus,Правда? У меня на поезде ушёл час.
rus,"Он опаздывал, и мы начали без него."
rus,Его скромность достойна уважения.
rus,Эта группа в настоящий момент очень активна.
rus,"Кажется, волейболиста накажут за опоздание на игру."
rus,Она купила старый стол почти задаром.
rus,Я здесь по делам.
rus,Вернитесь на своё место.
rus,Он разбил этот сад.
rus,Насколько глубоко озеро Бива?
rus,Не хотели бы вы вступить в клуб танцев?
rus,"Думаю, он величайший артист этого времени."
rus,За гонками смотреть весело.
rus,"Она попробовала открыть дверь, но это оказалось невозможно."
rus,Существовала серьёзная возможность его успеха.
rus,Мне следует проверить масло?
rus,"Он начинающий садовник, но его цветы замечательные."
rus,Я поссорился вчера со своим старшим братом.
rus,"Стоило мне выйти из дому, как начался ливень."
rus,"Пожалуйста, покажите мне другой пример."
rus,Я бы хотел прийти на твою вечеринку.
rus,"Это весь воздух, который нам доступен."
rus,Наивность — его единственное положительное качество.
rus,Хоккайдо находится к северу от Хонсю.
rus,"Он не менее добр, чем его сестра."
rus,"Но мы знаем многое о его характере, благодаря письмам и записям, которые он оставил, а также рассказам о нём других людей."
rus,"Я тебя слышу, но не вижу."
rus,Тони говорит по-английски лучше меня.
rus,"Как незаинтересованная третья сторона, я могу заявить, что она втайне влюблена в него."
rus,Он умеет играть в теннис.
rus,В моём отце едва ли найдётся артистизм.
rus,Они поехали на станцию на автомобиле.
rus,Мужчина восстановил владение левой рукой.
rus,Вы бывали на Хоккайдо?
rus,"Когда я вошёл в чайную комнату, там было двое молодых людей, смотревших по телевизору борьбу."
rus,Уже почти двенадцать часов.
rus,Корабли дрейфовали по милости волн.
rus,В городе много людей и автомобилей. Это занятой город.
rus,Он считает свой успех результатом усердной работы.
rus,По поводу причины пожара нет больших сомнений.
rus,Масару хочет вступить в кружок английского.
rus,Он имеет привычку чесать себе спину и грызть ногти.
rus,"Насколько можно было видеть, вокруг не было никаких признаков жизни."
rus,Я посоветовал ему не курить.
rus,Моя семья жила здесь двадцать лет.
rus,"Это интересная книга, если не считать нескольких ошибок."
rus,"Интересно, как получилось, что мне никто не сказал."
rus,Это полная противоположность истине.
rus,Старший сын унаследовал всю собственность.
rus,"Он крепкий парень, его так просто не лишить присутствия духа."
rus,Как тебе понравился концерт Линды?
rus,"Помогая другим, ты помогаешь себе."
rus,Он сидел прямо.
rus,"Очевидно, за отмену взимается 30%."
rus,Джимми в определённой мере способен выполнить эту операцию.
rus,Япония в большом объёме торгует с Канадой.
rus,"Ну что, на сегодня хватит?"
rus,Они никогда не придут к согласию.
rus,Я не смог зайти к тебе из-за болезни.
rus,"Я слышал, в Англии трава зелёная даже зимой."
rus,"Я сожалею, что растратил деньги."
rus,Средневековая церковь презирала телесное и возвышала духовное.
rus,"Он, должно быть, спятил, так обращаться с родителями."
rus,"Если ехать за границу, я бы предпочёл во Францию."
rus,У неё не было уверенности насчёт своего будущего.
rus,"Проблема в том, что у нас недостаточно денег."
rus,Покажите вашу фотографию.
rus,"Почему ты не взял его, прежде чем мы ушли?"
rus,Он полностью завершил работу.
rus,Учитель сердито отчитал своих учеников.
rus,"Озеро Бива можно было видеть с того места, где мы стояли."
rus,Я учусь.
rus,Я вписал в бумагу своё имя.
rus,Ей нравится вино.
rus,"Мы прибыли на станцию, когда поезд отходил."
rus,Твой замысел наверняка удастся.
rus,Первый шаг — половина дела.
rus,"Говорят, погода в горах быстро меняется."
rus,"Я был очень расстроен, когда Хингис выбили в первом же раунде."
rus,"Наверное, из-за бороды он при первой встрече кажется страшным, но на самом деле он добрый человек."
rus,В классной комнате оставалось несколько учеников.
rus,Он извинился передо мной за свою грубость.
rus,Её поведение ненормально для девочки.
rus,Ракета движется по орбите вокруг луны.
rus,Отец недавно вернулся из Японии.
rus,"Я слышал, как Том храпел во время урока."
rus,Эта задача мне не по силам.
rus,"Я сожалею, что упустил возможность встретиться с нею."
rus,Его неудача на самом деле вызвана неосмотрительностью.
rus,Он почти уснул.
rus,К счастью для меня я сдал экзамен.
rus,Чтение развивает ум.
rus,В последние годы многие местные традиции стали забываться.
rus,У неё музыкальный талант.
rus,Над ним публично насмеялись.
rus,Ты должен воспользоваться погодой и покрасить забор.
rus,"Пожалуйста, скопируйте эту страницу."
rus,"Боб отдал Тине почти все марки, которые собрал, оставив себе лишь несколько."
rus,Его родители сказали ему поступить в университет.
rus,Я слышу звук барабана.
rus,"Её обувь изнашивается гораздо быстрее, чем моя."
rus,Ты не должен оставлять комнату ни при каких обстоятельствах.
rus,Мою канарейку убила кошка.
rus,Он связал вора.
rus,Кредитные послабления считаются необходимыми для поддержки бизнеса.
rus,"Доктор подчеркнул, что пациенту осталось всего несколько дней."
rus,Ты всё время смотришь телевизор.
rus,Он придерживается своих принципов.
rus,Мы говорили о многих вещах.
rus,"Может, потанцуем?"
rus,"Они требуют, чтобы я работал усерднее."
rus,"Большинство исследований по этой теме показали, что законодательное вмешательство давало негативный эффект."
rus,Малыш играет с какими-то игрушками.
rus,Тарелка плова с шашлыком — рай на земле.
rus,У нас получилось!
rus,Его дом где-то здесь.
rus,Она посоветовала ему не есть так много.
rus,Больной ребёнок уселся в постели.
rus,Она с ним сурова.
rus,Полицейский был не при исполнении.
rus,"Если боишься, держи меня за руку."
rus,У радуги семь цветов.
rus,Корабль нагнал нас.
rus,Погода благоприятствовала нашему путешествию.
rus,Она всё равно хотела пойти.
rus,Он выступал за всеобщее равенство.
rus,Мне действительно очень понравилось.
rus,"Извините, мне нужно сойти на следующей остановке."
rus,"Этот кофе такой горячий, что я не могу его пить."
rus,"Теперь, когда тебе восемнадцать, ты можешь получить водительские права."
rus,Впусти немного свежего воздуха.
rus,Этого парня невозможно ненавидеть.
rus,Как скоро мы будем на месте?
rus,"Мир — это книга. И те, кто не путешествуют, читают только одну страницу."
rus,Я сел отдельно от них.
rus,Он неподвижно стоял с закрытыми глазами.
rus,Старые обычаи долго держались на селе.
rus,Выкладывай.
rus,Его жизнь полна трудностей.
rus,Ты должен показать хороший пример своим детям.
rus,После чашечки кофе он начал.
rus,Я могу помочь вам убрать со стола?
rus,Из-за плохой погоды земледельцы потеряли много урожая.
rus,"Да, конечно."
rus,"«Сегодня похоронили молочника. Было много народу, потому что все в деревне его знали». — «О, так в Линсхотене есть молочник?» — «Ну, нет, теперь уже нет!»"
rus,"Я поступил в школу искусств, когда мне было восемь лет."
rus,"Моя сестра — неуклюжая, в этом её недостаток."
rus,"Я не могу разобрать, чего она хочет."
rus,Тебе лучше бы воспользоваться этой возможностью.
rus,"А, если ты можешь это озвучить, можно и мне попросить копию?"
rus,И мальчик сделал.
rus,Я больше не могу терпеть её дурные манеры.
rus,"Я хочу спросить их, на какой день назначена их свадьба."
rus,"Ему нужно несколько шуток, чтобы оживить его речь."
rus,"Хотел бы я, чтобы он был здесь."
rus,"Благодаря телевидению мы можем наслаждаться бейсболом, не выходя из комнаты."
rus,У него не было достаточно денег.
rus,"Думаю, у тебя грипп."
rus,Кто-то вошёл в комнату.
rus,Мы съели немного яблок.
rus,"Я предпочитаю путешествовать поездом, а не самолётом."
rus,Они жили в гармонии друг с другом.
rus,Первым пришёл — первым обслужили.
rus,Он вбил гвоздь своим молотком.
rus,Они предложили гостям кофе.
rus,Молодым полезно читать хорошие книги.
rus,"Утреннее солнце такое яркое, что я не могу на него смотреть."
rus,Он был столь добр пригласить меня на свой день рождения.
rus,Я был в Париже дважды.
rus,"Кажется, вы честный человек."
rus,Могу я воспользоваться кредитной карточкой?
rus,Это пальто обито мехом.
rus,Она была там всё утро.
rus,Он принялся за работу всерьёз.
rus,Тед любит свою жену Элизабет.
rus,"Я не соглашался на то, чтобы ты курил."
rus,Лю Бэй и Чжугэ Лян — непобедимая команда.
rus,Ты останешься дома?
rus,Потеря дочери отняла у меня волю к жизни.
rus,Мне сложно выразить свои мысли в словах.
rus,"Воды больше, чем нужно."
rus,"Политик даже не стал извиняться за то, что не оправдал наше доверие."
rus,"Можно наверняка сказать, что он гений."
rus,Я могу использовать этот карандаш?
rus,Он взял отгул на неделю.
rus,В наше время из-за международных споров мы прошли через две мировые войны.
rus,Она дорога мне.
rus,Подобная тривиальная вещь даже не рассматривается.
rus,Мэри пошла в отца.
rus,Ты не догадался закрыть окна?
rus,Внезапный шум отвлёк их внимание от игры.
rus,Она вздрогнула при мысли о происшествии.
rus,В случае пожара воспользуйтесь пожарной лестницей.
rus,Я могу позвонить напрямую?
rus,"Чтобы всё испортить, ещё и начался дождь."
rus,"У меня недостаточно баллов, чтобы получить диплом."
rus,Мы гордились нашей силой.
rus,Дверь закрывается в девять часов.
rus,Фарамп разделила пирог на две доли.
rus,"Легко любить, но трудно быть любимым."
rus,Он уступает мне в учёбе.
rus,"Он был таким человеком, с которым легко было ладить."
rus,На входе нам следует снимать обувь.
rus,"Если получится, я хочу отправиться в путешествие вокруг света."
rus,"Но это естественно, ведь ты ещё не знаешь их методов."
rus,Меня заставили кричать о помощи.
rus,Мальчик так и сделал.
rus,Ты выпил три чашки кофе.
rus,"Пожалуйста, положите кусочек сахара в моё кофе."
rus,Я положил немного сливок себе в кофе.
rus,Я пролил кофе на ковёр.
rus,"Кофе было такое горячее, что я чуть не обжёг язык."
rus,"Моя тётя показала мне, как варить хороший кофе."
rus,Мой отец любит крепкий кофе.
rus,Мой отец любит крепкое кофе.
rus,Давай не будем делать поспешных выводов. Утро вечера мудренее.
rus,Мы хотели бы купить диван.
rus,Старые ковры ценнее новых.
rus,Ад выстлан добрыми намерениями.
rus,"Полезно только то знание, которое учит нас, как искать добро и избегать зла."
rus,Оно никуда не годится.
rus,Он никуда не годится.
rus,Это никуда не годится.
rus,"Жаль, что я не умею петь."
rus,Я начал читать книгу.
rus,Я начал писать книгу.
rus,"Он не такой, каким кажется."
rus,Нижняя палата сократила бюджет на иностранную помощь.
rus,"Я прожил в Сэндае десять лет, прежде чем посетил Мацусиму."
rus,Он здесь играет.
rus,Этой осенью у нас было не много тайфунов.
rus,"Когда я встретил своего бывшего учителя, он спросил меня о моих родителях."
rus,Я попал под ливень и промок до нитки.
rus,Я могу взять на время этот словарь?
rus,У королей длинные руки.
rus,Призовые деньги позволили мне отправиться в путешествие вокруг света.
rus,"Сейчас люди более образованы, чем раньше."
rus,У него опять не получилось?
rus,"Согласно легенде, он берёт своё название от одного священника."
rus,Могу я задать несколько вопросов?
rus,Он занят поисками работы.
rus,"Мне всегда казалось, что ты поедешь с нами."
rus,Вот где ты ошибаешься.
rus,Его методы ненаучны.
rus,Дойти отсюда до города займёт у тебя по крайней мере полчаса.
