"language","text"
"English","Try to concentrate hard on Joanna Lumley and Susan Sarandon."
"English","Also worried about how to celebrate birthday."
"English","Size of flat and bank balance prohibits actual party."
"English","But then would have to spend birthday slaving and would hate all guests on arrival."
"English","Could all go out for meal but then feel guilty asking everyone to pay, selfishly presuming to force costly and dull evening on others merely to celebrate own birthday – yet cannot afford to pay for everyone."
"English","Wish had not been born but immaculately burst into being in similar, though not identical, manner to Jesus, then would not have had to have birthday."
"English","Sympathize with Jesus in sense of embarrassment he must, and perhaps should, feel over two-millennium-old social imposition of own birthday on large areas of globe."
"English","Am going to ask everyone round for cocktails, perhaps Manhattans."
"English","Will then have given to guests something in manner of grand society hostess, and if everyone wishes to go to dinner afterwards: why, they may do so."
"English","Not sure what Manhattan is, come to think of it."
"English","But could buy book of cocktails maybe."
"English","Thursday 16 March"
"English","9st 1, alcohol units 2, cigarettes 3 (v.g."
"English","Jude Vile Richard"
"English","Tom Jerome (yuk)"
"English","Rebecca Martin Crashing Bore"
"English","What am I going to do?"
"English","Friday 17 March"
"English","So am just going to ask the following:"
"English","Magda and Jeremy"
"English","– and cook supper for everyone myself."
"English","I said, over-compensating madly."
"English","which means Vile Richard."
"English","I mean nine is fine."
"English","Next thing Sharon rang."
"English","Just got home to icy offended-sounding answerphone message from Woney."
"English","Realize I am going to spend my birthday cooking food for sixteen people."
"English","Saturday 18 March"
"English","8st 13,alcohol units 4(fed up),cigarettes 23(v.v.bad,esp.in two hours), Calories 3827 (repulsive)."
"English","Just what I needed."
"English","she said breathily, steaming through my flat and heading for the kitchen."
"English","You look about ninety."
"English","Sunday 19 March"
"English","8st 12 alcohol units 3, cigarettes 10, calories 2465 (but mainly chocolate)."
"English","Have been talking to Jude about book she has been reading about festivals and rites of passage in primitive cultures and am feeling happy and serene."
"English","Realize it is shallow and wrong to feel that flat is too small to entertain nineteen, and that cannot be arsed to spend birthday cooking and would rather dress up and be taken to posh restaurant by sex-god with enormous gold credit card."
"English","Instead am going to think of my friends as a huge, warm, African, or possibly Turkish, family."
"English","Our culture is too obsessed with outward appearance, age and status."
"English","Love is what matters."
"English","These nineteen people are my friends; they want to be welcomed into my home to celebrate with affection and simple homely fare – not to judge."
"English","It will be a marvellous, warm, Third-World-style ethnic family party."
"English","Monday 20 March"
"English","9st, alcohol units 4 (getting into mood), cigarettes 27 (hut last day before giving up), calories 2455."
"English","Have decided to serve the shepherds pie with Chargrilled Belgian Endive Salad, Roquefort Lardons and Frizzled Chorizo, to add a fashionable touch (have not tried before but sure it will be easy), followed by individual Grand, Marnier souffles, V. much looking forward to the birthday."
"English","Expect to become known as brilliant cook and hostess."
"English","Tuesday 21 March: Birthday"
"English","9st, alcohol units 9,* cigarettes 42,* calories 4295."
"English","Have just stepped in a pan of mashed potato in new kitten-heel black suede shoes from Pied a terre (Pied-a-pomine-de-terre, more like), forgetting that kitchen floor and surfaces were covered in pans of mince and mashed potato."
"English","It is already 6.30 and have to go out to Cullens for Grand Marnier souffle ingredients and other forgotten items."
"English","Oh my God – suddenly remembered tube of contraceptive jelly might be on side of washbasin."
"English","Return with forgotten groceries."
"English","Prepare Grand Marnier souffles."
"English","It is my birthday, after all.)"
"English","Check plates and cutlery for tell-tale signs of sluttish washing-up and arrange in attractive fan shape."
"English","Ah, must buy napkins also (or is it serviettes?"
"English","Can never remember which one is common)"
"English","Tidy up and move furniture to sides of room."
"English","Make frisse lardon frizzled chorizo thing."
"English","All of which leaves a clear half-hour to get ready so no need to panic."
"English","Must have a fag."
"English","How did that happen?"
"English","7.15 p.m. Just, got back from shop and realize have forgotten butter,"
"English","7.35 p.m. Shit, shit shit."
"English","is still in pans all over the kitchen floor and have not yet washed hair."
"English","7.40 p.m. Oh my God."
"English","Just looked for milk and realized have left the carrier bag behind in the shop."
"English","Also had the eggs in it."
"English","Oh God, and the olive oil ."
"English","so cannot do frizzy salad thing."
"English","Best plan, surely, is to get into the bath with a glass of champagne then get ready."
"English","At least if I look nice I can carry on cooking when everyone is here and maybe can get Tom to go out for the missing ingredients."
"English","Am in bra and pants with wet hair."
"English","Pie is all over floor."
"English","Suddenly hate the guests."
"English","Have had to slave for two days, and now they will all swan in, demanding food like cuckoos."
"English","At door were Magda, Tom, Shazzer and Jude with bottle of champagne."
"English","It turned out Magda had booked a big table at 192 and told everyone to go there instead of my flat, and there they all were waiting with presents, planning to buy me dinner."
"English","Magda said they had had a weird, almost spooky sixth sense that the Grand Marnier souffle and frizzled lardon thing were not going to work out."
"English","Love the friends, better than extended Turkish family in weird headscarves any day."
"English","Stop being so neurotic and dreading things."
"English","I will not"
"English","Sleep with, or take any notice of, Daniel Cleaver any more."
"English","Sunday 2 April"
"English","9st, alcohol units 0 (marvellous), cigarettes 0, calories 2250."
"English","I read in an article that Kathleen Tynan, late."
"English","Kathleen Tynan would not, when late with a press release for Perpetua, lie fully dressed and terrified under the duvet, chain-smoking, glugging cold sake out of a beaker and putting on make-up as a hysterical displacement activity."
"English","Kathleen Tynan would not allow Daniel Cleaver to sleep with her whenever he felt like it but not be her boyfriends Nor would she become insensible with drink and be sick."
"English","Wish to be like Kathleen Tynan (though not, obviously, dead)."
"English","No fags for six days now."
"English","Have assumed air of dignified hauteur with Daniel and not messaged, flirted or slept with him for three weeks."
"English","Only three alcohol units consumed over the last week as grudging concession to Tom, who complained that spending the evening with the new vice-free me was like going out for dinner with a whelk, scallop or other flaccid sea-creature."
"English","My body is a temple."
"English","It was my father, speaking in a weird, disconnected voice, almost as if he were a dalek."
"English","I switched channels and lurched in horror."
"English","It was trailer for the Anne and Nick show and there, frozen in a video-effect diamond between Anne and Nick on the sofa, was my mother, all bouffed and made-up, as if she were Katie Bloody Boyle or someone."
"English","While Anne was speaking my mother unfroze within the diamond, which started whooshing towards the front of the screen, obscuring Anne and Nick, and revealing, as it did so, that my mother was thrusting a microphone under the nose of a mousy-looking woman."
"English","It seems he is in denial and has convinced himself Mum is just having an end-of-life crisis and that she already realizes she has made a mistake but is too embarrassed to ask to come back."
"English","The Alconburys are holding an Olde English supper on Saturday night for the Lifeboat."
"English","Tuesday 4 April"
"English","Determined, now, to tackle constant lateness for work and failure to address in-tray bulging with threats from bailiffs, etc."
"English","Resolve to begin self-improvement programme with time-and-motion study."
"English","7 a.m. Get weighed."
"English","7.03 a.m. Return to bed in sulk over weight."
"English","Sleeping or getting up equally out of question."
"English","Hunger pains force self out of bed."
"English","Make coffee, consider grapefruit."
"English","7.35-7.50 a.m. Look out of window."
"English","7.55 a.m. Open wardrobe."
"English","Try to find black Lycra miniskirt."
"English","Pull clothes out of bottom of wardrobe in quest for skirt."
"English","Go through drawers and search behind bedroom chair."
"English","Go through ironing basket."
"English","Go through dirty linen basket."
"English","Have cigarette to cheer self up."
"English","8.20 a.m. Dry skin brushing (anti-cellulite), bath and hairwash."
"English","Begin selection of underwear."
"English","Laundry crisis means only available pants are vast white cotton."
"English","Too unattractive to contemplate, even for work (psychological damage)."
"English","Go back to ironing basket."
"English","Find unsuitably small black lacy pair – prickly but better than giant Mummy-pant horror."
"English","8.45 a.m. Start on black opaque tights."
"English","Pair one seems to have Shrunk – crotch is three inches above knees."
"English","Get second pair on and find hole on back of leg."
"English","Suddenly remember had Lycra mini-skirt on when returned home with Daniel last time."
"English","Go to living room."
"English","Triumphantly locate skirt between cushions on sofa."
"English","8.55 a.m. Return to tights."
"English","Pair three have hole only in toe."
"English","Hole transforms into ladder which will protrude tellingly from shoe."
"English","Go to ironing basket."
"English","Locate last pair of black opaque tights twisted into rope-like object speckled with bits of tissue."
"English","Untangle and purge of tissue."
"English","9.05 a.m. Have got tights on now."
"English","Suddenly realize hair is drying in weird shape."
"English","Will not go right."
"English","Spray with plant spray and blow some more."
"English","9.40 a.m. Return to ironing and discover stubborn stain on front of shirt."
"English","All other possible shirts dirty."
"English","Try to wash out stain."
"English","Entire shirt now soaking wet."
"English","9.55 a.m. V. late now."
"English","In despair, have fag and read holiday brochure for calming five minutes."
"English","Try to find handbag."
"English","Decide to see if anything nice has come in the mail."
"English","10.07 a.m. Access letter only, about non-payment of minimum payment, Try to remember what was looking for."
"English","Restart quest for handbag."
"English","Suddenly remember had handbag in bedroom when looking for hairbrush but cannot find."
"English","Eventually locate under clothes from wardrobe."
"English","Return clothes to wardrobe."
"English","Prepare to leave house."
"English","Scour house in rage."
"English","10.25 a.m. Find keys in handbag."
"English","Realize have forgotten hairbrush."
"English","10.35 a.m. Leave house."
"English","Three hours and thirty-five minutes between waking and leaving house is too long."
"English","In future must get straight up when wake and reform entire laundry system."
"English","Open up paper to read that convicted murderer in America is convinced the authorities have planted a microchip in his buttocks to monitor his movements, so to speak."
"English","Horrified by thought of similar microchip being in own buttocks, particularly in the mornings."
"English","Wednesday 5 April"
"English","She said, when you looked at life, Zen could be applied to anything – Zen and the art of shopping, Zen and the art of flatbuying, etc."
"English","She said that it was all a question of Flow rather than struggle."
"English","And if, for example, you had a problem or things were not working out, instead of straining or becoming angry you should just relax and feel your way into the Flow and everything would work out."
"English","But not to mention idea to Sharon because she thought it was bollocks."
"English","Thursday 6 April"
"English","Waved at him and just for split second saw expression of horror cross his face, which instantly made me look to his companion who was a) not Magda."
"English","b) not yet thirty, c) wearing a suit which I have tried on twice in Whistles and had to take off as too expensive."
"English","I was about to play along with it but then I thought, hang on a minute!"
"English","What should I do now, though?"
"English","Oh dear, oh dear."
"English","Ring Jeremy and threaten to tell Magda unless he drops the witch in my suit?"
"English","Mind my own business?"
"English","Remembering Zen, Kathleen Tynan and Inner Poise, I did a version of Salute to the Sun I remembered from distant Yogacise class and centred myself, concentrating on the inner wheel, till the flow came."
"English","Then I resolved serenely to tell no one, as gossip is a virulent spreading poison."
"English","Then if, through"
"English","Flow, it seems the right thing to do, I will tell her what I saw."
"English","Nothing of value comes through struggle; it is all about Flow."
"English","Zen and the art of life."
"English","Hmmm, but then how did I happen to bump into Jeremy and the worthless trollop if not through Flow?"
"English","What does that mean, then?"
"English","Tuesday 11 April"
"English","8st alcohol units 0, cigarettes 0, Instants 9 (this must stop)."
"English","All seems normal with Magda and Jeremy so maybe it was just a business meeting."
"English","Maybe the Zen and Flow notion is correct, for there is no doubt that by relaxing and going with the vibes I have done the right thing."
"English","Determined, instead of fearing the scary party, panicking all the way through and going home pissed and depressed, am going to improve social skills, confidence and Make Parties Work for Me – as guided by article have just read in magazine."
"English","Have you met the most dazzling person at the party apart from you?"
"English","Wish to be like Tina Brown, though not, obviously, quite so hardworking."
"English","The article is full of useful tips."
"English","One should never, apparently, talk to anyone at a party for more than two minutes."
"English","When introducing people add a thoughtful detail or two about each person so that their interlocutor has a conversational kicking-off point."
"English","Understand where have been going wrong by going to parties armed only with objective of not getting too pissed."
"English","Monday 17 April"
"English","8st12, alcohol units 0 (v.g."
"English","Am going to work out clear set of objectives."
"English","Will just watch adverts then ring up Jude."
"English","Anyway, will think of some more later."
"English","Do not want to go to scary party."
"English","Want to stay home with bottle of wine and watch Eastenders."
"English","Tuesday 18 April"
"English","9st7 (oh dear), cigarettes 30, calories (cannotbear to think about it), Instants 1 (excellent)."
"English","Party got off to a bad start when could nor see anyone that I knew to introduce to each other."
"English","Found myself a drink then spotted Perpetua talking to James from the Telegraph."
"English","I hung around for a while feeling a total git, then spotted Simon from Marketing."
"English","in the style of Tina Brown."
"English","When I was almost there, however, I noticed that, unfortunately, Simon from Marketing was talking to Julian Barnes."
"English","I said, panicking wildly about what it was I could possibly want."
"English","Simon and Julian Barnes looked at me expectantly."
"English","Why did I say that?"
"English","I saw a faint smile hover over the thin-but-attractive lips of Julian Barnes."
"English","It was not going particularly well so far, there were no two ways about it."
"English","I looked wistfully at the stairs."
"English","The thought of going home, putting my nightie on and turning on the telly began to seem irresistibly attractive."
"English","Perpetua was still by the door, talking to her ghastly friends Piggy and Arabella."
"English","and held out her glass."
"English","When I returned with three glasses of wine and a Perrier they were in full autowitter."
"English","said Perpetua sneerily, with a sideways glance at Arabella and Piggy."
"English","I hate Perpetua when she gets like this."
"English","Stupid old fartarse bag."
"English","As I looked up I saw a dark-haired man in a suit straight in front of me."
"English","I nearly opened my mouth and let all the sate sticks fall right out."
"English","It was Mark Darcy."
"English","But without the Arnold Palmer-style diamond-patterned sweater."
"English","Then, remembering the article, turned towards Perpetua."
"English","I began and then paused, frozen."
"English","Perpetua is very fat and spends her whole time bossing me around?"
"English","Mark is very rich and has a cruel-raced ex-wife."
"English","said Arabella, opening her eyes very wide and blinking in a way she presumably thought was very attractive."
"English","I had the feeling he was taking the piss out of me."
"English","I could see her mentally fitting Mark Darcy and Natasha in with an array of Poohs and Piggies round the dinner table."
"English","Mark Darcy looked as if he was going to burst out laughing."
"English","she said with a resentful look in my direction."
"English","I turned around."
"English","He leaned over and kissed me."
"English","I saw you, though."
"English","Inner poise, I told myself, inner poise."
"English","Almost, when you examine it, thin to the point of transparency."
"English","Has it ever occurred to you that your blouse might be suffering from ."
"English","Saturday 22 April"
"English","8st 7, cigarettes, 0, alcohol units 0, calories 1800."
"English","Today is a historic and joyous day."
"English","After eighteen years of trying to get down to 8st 7 I have finally achieved it."
"English","It is no trick of the scales, but confirmed by jeans."
"English","There is no reliable explanation."
"English","I have been to the gym twice in the last week, but that, though rare, is not freakish."
"English","I have eaten normally."
"English","It is a miracle."
"English","Rang Tom, who said maybe I have a tapeworm."
"English","The way to get rid of it, he said, is to hold a bowl of warm milk and a pencil in front of my mouth."
"English","I love my new tapeworm."
"English","asked Tom in a suspicious, jealous tone."
"English","But if you are single the last thing you want is your best friend forming a functional relationship with somebody else."
"English","I racked my brains, then stopped, shocked by a sudden, stunning realization."
"English","I am not in love with Daniel anymore."
"English","Tuesday 25 April"
"English","8st 7, alcohol units 0 (excellent), cigarettes 0 (v.v.g."
"English","asked Jude when I walked in."
"English","No, I just thought ."
"English","Simon was the same."
"English","Just a bit ."
"English","It continued all evening."
"English","They might as well have done with it and say you look like five kinds of shit."
"English","I felt so pleased with myself for not drinking but as the evening wore on, and everyone got drunker, I began to feel so calm and smug that I was even irritating myself."
"English","I said to Jude at one point as she lurched past, hiccupping happily, at which point she collapsed into giggles, put her arm round me and fell over."
"English","Once there, I got into bed, put my head on the pillow but nothing happened."
"English","Normally I would be snoring by now and having some sort of traumatized paranoid dream."
"English","I put the light on."
"English","It was only 11:30."
"English","Maybe I should do something, like, well, er ."
"English","Inner poise The phone rang."
"English","Now I feel empty and bewildered – as if a rug has been pulled from under my feet."
"English","Eighteen years – wasted."
"English","Eighteen years of calorie– and fat-unit-based arithmetic."
"English","Eighteen years of buying long shirts and sweaters and leaving the room backwards in intimate situations to hide my bottom."
"English","Millions of cheesecakes and tiramisus, tens of millions of Emmenthal slices left uneaten."
"English","Eighteen years of struggle, sacrifice and endeavor – for what?"
"English","Thursday 27 April"
"English","Alcohol units 0, cigarettes 0, Instants 12 (v.v."
"English","bad, but have not weighed self or thought about dieting all day; v.g.)."
"English","Must stop doing the Instants, but the trouble is I do quite often win."
"English","The Instants are much better than the Lottery itself, because the numbers no longer come up during Blind Date (it is not on at the moment) and all too often do not have a single one of yours among them, leaving you feeling both impotent and cheated with nothing to be done except crumple your ticket up and throw it defiantly on the floor."
"English","Three amounts the same secures a win, and in my experience you always get very close, often with as many as two matching pairs for amounts as great as ?50,000."
"English","Friday 28 April"
"English","Alcohol units 14, cigarettes 64, calories 8400 (v.g., though bad to have counted."
"English","Slimming obsession v. bad), Instants 0."
"English","At 8:45 last night I was running a relaxing aromatherapy bath and sipping camomile tea when a car burglar alarm started up."
"English","I have been waging a campaign on our street against car burglar alarms which are intolerable and counterproductive since you are more likely to get your car broken into by an angry neighbor trying to silence the burglar alarm than by a burglar"
"English","I picked up the intercom."
"English","Then there was hysterical sobbing."
"English","somebody yelled from an upstairs window."
"English","shrieked Magda, tugging at the car hood."
"English","she yelled into the portable phone."
"English","Magda is very posh."
"English","Our street is not very posh."
"English","Magda and I were both in the car now, pulling every lever we could find, Magda swigging intermittently at a bottle of Laurent-Perrier."
"English","By this time an angry mob was gathering."
"English","Next thing, Jeremy roared up on his Harley-Davidson."
"English","But instead of turning off the alarm, he started trying to grab the baby out of the backseat with Magda screaming at him."
"English","Then the Australian guy, Dan, who lives below me, opened his window."
"English","Then Dan appeared m the hall."
"English","Several cigarettes and a lot of fiddling with a credit card later we were in, to find water flooding everywhere."
"English","Dan rushed downstairs, returning with a wrench and a bottle of Scotch."
"English","He managed to turn off the taps, and started helping me to mop up."
"English","Then the burglar alarm stopped and we rushed to the window just in time to see the Saab roar off, with the Harley-Davidson in hot pursuit."
"English","Then suddenly a man in motorbike leathers appeared at the open door holding a pizza box."
"English","Then the doorbell rang."
"English","Then it rang without stopping."
"English","I picked it up."
"English","Why do I still fancy Daniel so much?"
"English","Saturday 29 April"
"English","Alcohol units 12, cigarettes 57, calories 8489 (excellent)."
"English","Twenty-two hours, four pizzas, one Indian takeaway, three packets of cigarettes and three bottles of champagne later, Daniel is still here."
"English","I am in love."
"English","I am also now between one and all of the following:"
"English","a) Back on thirty a day."
"English","Monday 1 May"
"English","Alcohol units 0, cigarettes 0, calories 4200 (eating for two)."
"English","I seriously think I am pregnant."
"English","How could we have been so stupid?"
"English","This morning I definitely felt the beginnings of morning sickness, but that could be because I was so hungover after Daniel finally left yesterday that I ate the following things to try to make myself feel better:"
"English","2 packets Emmenthal cheese slices."
"English","1 litre freshly squeezed orange juice."
"English","1 cold jacket potato."
"English","2 pieces unbaked lemon cheesecake (very light; also possibly eating for two)."
"English","1 Milky Way (125 calories only."
"English","1 chocolate Viennoise dessert thing with cream on top (greedy baby incredibly demanding)"
"English","Steamed broccoli (attempt to nourish baby and stop it growing up spoilt)."
"English","4 cold Frankfurter sausages, (only available tin in cupboard too exhausted by pregnancy to go out to shop again)."
"English","Am starting to get carried away with idea of self as Calvin Klein-style mother figure, poss."
"English","wearing crop-top or throwing baby in the air, laughing fulfilledly in advert for designer gas cooker, feel-good movie or similar."
"English","In the office today Perpetua was at her most obnoxious, spending 45 minutes on the phone to Desdemona, discussing whether yellow walls would look nice with pink-and-grey ruched blinds or whether she and Hugo should go for Blood Red with a floral freize."
"English","Instead of wanting to staple things to her head, I merely smiled in a beatific sort of way, thinking how soon all these things were to be immaterial to me, alongside caring for another tiny human being."
"English","Next I discovered a whole new world of Daniel fantasies: Daniel carrying the baby in a sling, Daniel rushing home from work, thrilled to find the two of us pink and glowing in the bath, and, in years to come, being incredibly impressive at parent/teacher evenings."
"English","But then Daniel appeared."
"English","I have never seen him look worse, The only possible explanation was that on leaving me yesterday he had carried on drinking."
"English","He looked over at me, briefly, with the expression of an axe-murderer."
"English","Wednesday 3 May"
"English","9st 2* (Eek."
"English","Baby growing at monstrous unnatural rate), alcohol units 0, cigarettes 0, calories 3100 (but mainly potatoes, oh my God)."
"English","Thursday 4 May"
"English","9stalcohol units 0, cigarettes 0, potatoes 12."
"English","I grabbed the proffered blue one, handed over the eight pounds sodding ninety-five and scuttled out."
"English","For the first two hours this morning I kept staring at my handbag as if it was an unexploded bomb."
"English","At 11.30 I could stand it no longer, grabbed the handbag, got in the lift and went to the loo two floors down to avoid the risk of anyone I knew hearing suspicious rustling."
"English","For some reason, the whole business suddenly made me furious with Daniel."
"English","I unwrapped the packet in a fury, shoving the box and everything in the bin and getting on with it, then put the stick upside down on the back of the loo without looking at it."
"English","Three minutes, There was no way I was going to watch my fate being sealed by a slowly-forming thin blue line."
"English","Somehow I got through those hundred and eighty seconds – my last hundred and eighty seconds of freedom – picked up the stick and nearly screamed."
"English","There in the little window was a thin blue line, bold as brass."
"English","After 45 minutes of staring blankly at the computer trying to pretend Perpetua was a Mexican cheeseplant whenever she asked me what was the matter, I bolted and went out to a phone booth to ring Sharon."
"English","I waited, feeling like a weird sort of hermaphrodite or Push-me-pull-you experiencing the most violently opposed baby sentiments of a man and a woman both at the same time."
"English","On the one hand I was all nesty and gooey about Daniel, smug about being a real woman – so irrepressiblv fecund!"
"English","– and imagining fluffy pink baby skin, a tiny creature to love, and darling little Ralph Lauren baby outfits."
"English","On the other I was thinking, oh my God, life is over, Daniel is a mad alcoholic and will kin me then chuck me when he finds out."
"English","No more nights out with the girls, shopping, flirting, sex, bottles of wine and fags."
"English","Instead I am going to turn into a hideous grow-bag-cum-milk-dispensing-machine which no one will fancy and which will not fit into any of my trousers, particularly my brand new acid-green Agnes B jeans."
"English","This confusion, I guess, is the price I must pay for becoming a modern woman instead of following the course nature intended by marrying Abnor Rimmington off the Northampton bus when I was eighteen."
"English","When Sharon arrived I sulkily thrust the pregnancy test with its tell-tale blue line, at her under the table."
"English","There are supposed to be two lines."
"English","This line is just to show the test is working."
"English","Her nerves are shot to ribbons!"
"English","Friday 5 May"
"English","9st (oh sod it, cannot break weighing habit of lifetime, particularly after pregnancy trauma – will get therapy of some kindinfuture), alcohol units 6 (hurrah!"
"English","Spent the morning mooning abut in mourning for lost baby but cheered up a bit when Tom called to suggest a lunchtime Bloody Mary to get the weekend off to a healthy start."
"English","11.45 p.m. Daniel just called from Manchester."
"English","Saturday 6 May: VE Day"
"English","9st 1, alcohol units 6, cigarettes 25, calories 3800 (but celebrating anniversary of end of rationing), correct lottery numbers 0 (poor)."
"English","Awake on VE Day in unseasonable heatwave trying to whip up frenzy of emotion in self about end of war, freedom of Europe, marvellous, marvellous, etc."
"English","Feel extremely miserable about whole business, to tell truth."
"English","I do not have any grandpas."
"English","Mum is going back to the street she was brought up in in Cheltenham for a whale-meat fritter party, probably with Julio."
"English","None of my friends are organizing anything."
"English","It would seem embarrassingly enthusiastic and all wrong, somehow, suggesting a positive approach to life or that we were trying creepily to annex something that was nothing to do with us."
"English","I was just nothing: while they were all fighting and making jam out of carrots or whatever they did."
"English","I hate this idea and toy with calling Mum to see if she had started her periods when the war ended."
"English","Could I have somehow sensed the end of the war as a stored egg?"
"English","If only I had a grandpa I could have got in on the whole thing under the guise of being nice to him."
"English","Oh, sod it, I am going to go shopping."
"English","The heat has made my body double -in size, I swear."
"English","I am never going in a communal changing room again."
"English","I got a dress stuck under my arms in Warehouse while trying to lift it off and ended up lurching around with inside-out fabric instead of a head, tugging at it with my arms in the air, rippling stomach and thighs on full display to the assembled sniggering fifteen-year-olds."
"English","When I tried to pull the stupid dress down and get out of it the other way it got stuck on my hips."
"English","I hate communal changing rooms."
"English","to their obligatory obese friend, who looks like a water buffalo in everything."
"English","It was a disaster of a trip, anyway."
"English","I have come home with four things, all them unsuitable and unflattering."
"English","One will be left behind the bedroom chair in an M amp;S bag for two years."
"English","The other three will be exchanged for credit notes from Boules, Warehouse, etc., which I will then lose."
"English","I have thus wasted ?119, which would have been enough to buy something really nice from Nicole Farhi, like a very small T-shirt."
"English","It is all a punishment, I realize, for being obsessed by shopping in a shallow, materialistic way instead of wearing the same rayon frock all summer and painting a line down the back of my legs; also for failing to join in the VE Day celebrations."
"English","Maybe I should ring Tom and get a lovely party together for Bank Holiday Monday."
"English","Is it possible to have kitsch ironic VE day party – like for the Royal Wedding?"
"English","I wonder what would have happened if our generation had had a war?"
"English","Ah well, time for a little drinkv."
"English","Daniel will be here soon."
"English","Hiding in kitchen having a fag."
"English","Realized that our entire relationship so far has been based on the idea that one or other of us is supposed to be resisting having sex."
"English","Spending an evening together when the idea was that we were supposed to have sex at the end of it was nothing short of bizarre."
"English","Then when it was getting impossible to avoid the subject of bedtime any longer we went all formal and English."
"English","Then we ended up lying side by side and not touching, like we were Morecambe and Wise or John Noakes and Valerie Singleton in the Blue Peter House."
"English","If there is a God I would like to humbly ask Him – whilst making it clear that I am deeply grateful for His suddenly turning Daniel inexplicably into a regular feature after so much fuckwittage – to stop him getting into bed at night wearing pyjamas and reading glasses, staring at a book for 25 minutes then switching off the light and turning over – and turn him back into the naked lust-crazed sex beast I used to know and love."
"English","Thanking you for your kind attention, Lord, regarding this matter."
"English","Saturday 13 May"
"English","9st 1lb 8oz, cigarettes 7, calories 1145, Instants 5 (won ?2 therefore total Instants expenditure only ?3 v.g."
"English","Would welcome removal for thorough valeting."
"English","Still, was worth it for delicious night of drunken feminist ranting with Sharon and Jude."
"English","1 tub hummus amp; pkt mini-pittas."
"English","12 smoked salmon and cream cheese pinwheels."
"English","1 tiramisu (party size)."
"English","2 Swiss Mountain Bars."
"English","Sharon was on top form."
"English","she was already yelling by 8.35, pouring three-quarters of a glass of Kir Royale straight down her throat."
"English","They exist in a total Culture of Entitlement."
"English","You see, I was going to bring this, sort of, date with me."
"English","exploded Sharon, beginning to turn pink."
"English","How dare he give himself license to treat you any way he likes under the name of friendship, then make himself feel clever by trying to upset you with his stupid new date."
"English","I shouted happily, tucking into another Silk Cut and a couple of salmon pinwheels."
"English","By 11:30 Sharon was in full and splendid auto-rant."
"English","yelled Jude, slurping her Pinot Grigio."
"English","shouted Jude, lighting a Silk Cut with the butt end of the last one."
"English","Just then the doorbell rang."
"English","I yelled into the intercom."
"English","I did ring earlier and leave a message on your answerphone."
"English","Then Daniel appeared up the stairs, smiling lovingly."
"English","He looked tired yet fresh-faced, clean-shaven and very neat in his suit."
"English","He was holding three boxes of Milk Tray."
"English","He carried eight Cullens carrier bags into the kitchen and started putting everything away."
"English","At that moment the phone rang."
"English","As the girls fluttered around finding their handbags and grinning stupidly at Daniel, I started eating all the nut, praline, fudge or caramel-based chocolates out of my box of Milk Tray, feeling a bewildering mixture of smugness and pride over my perfect new boyfriend whom the girls clearly wished to have a go at shagging, and furious with the normally disgusting sexist drunk for ruining our feminist ranting by freakishly pretending to be the perfect man."
"English","I thought, while I waited for him to come back."
"English","When he came back he ran up the stairs, swept me up into his arms and carried me into the bedroom."
"English","he said, taking a foil-wrapped chocolate heart out of his pocket."
"English","Sunday 14 May"
"English","Feels like homework night."
"English","Have got to write catalogue copy for Perpetua before tomorrow."
"English","Think I will just ring Jude first."
"English","7.05 p.m. No reply."
"English","Anyway, down to work."
"English","Think Will just call Sharon."
"English","7.45 p.m. Shazzer was annoyed with me for ringing because she had just got in and was about to call 1471 to see if this guy she has been seeing had rung while she was out and now my number will be stored instead."
"English","Consider 1471 to be brilliant invention, instantly telling you the number of the last person who called."
"English","It was ironic, really, because when the three of us first found out about 1471 Sharon said she was totally against it, considering it exploitation by British Telecom of the addictive personalities and relationship-breakdown epidemic among the British populace."
"English","Some people are apparently calling it upwards of twenty times a day."
"English","Apparently in America the 1471 equivalent tells you all the numbers that have rung you since last time you checked and how many times."
"English","Jude says you have to be careful, though, because if you have an obsessive crush on someone and ring accidentally when they are in, then ring off and no number is stored they might guess it was you."
"English","Must make sure Daniel does not find out about any of this."
"English","9.30 p.m. Decided to nip round comer for cigarettes."
"English","On way up stairs heard phone ringing."
"English","Suddenlv realizing had forgotten to put answerphone back on when Tom rang, tore up stairs, emptied contents of handbag on floor to find key and threw self across from to phone at which point phone stopped."
"English","Had just gone into loo when phone rang again."
"English","Stopped when got to it."
"English","Then started ringing again when went away."
"English","Thought better of boasting to her about having a boyfriend despite being dressed from head to toe in slurry but prospect of Daniel and self becoming hot topic for discussion precipitating relentless stream of feedback folk-wisdom from Mum dissuaded me."
"English","Eventually got her to shut up about Color Me Beautiful by telling her I would think about it."
"English","Tuesday 17 May"
"English","9st 2 (hooray!"
"English","Daniel is still being gorgeous."
"English","How could everyone have been so wrong about him?"
"English","Head is full of moony fantasies about living in flats with him and running along beaches together with tiny offspring in manner of Calvin Klein advert, being trendy Smug Married instead of sheepish Singleton."
"English","Just off to meet Magda."
"English","Thought-provoking supper with Magda, who is v. depressed about Jeremy."
"English","The night of the burglar alarm and screaming row in my street was a result of a remark from Sloaney Woney, who claimed she had seen Jeremy with a girl at the Harbour Club who sounded suspiciously like the witch I saw him with all those weeks ago."
"English","But Magda was really fed up."
